date,incidence,gr
29/12/2014,1475,32
14/12/2015,1728,25
21/12/2015,2764,28
28/12/2015,3405,30
04/01/2016,4425,34
11/01/2016,6016,37
18/01/2016,6828,31
25/01/2016,8232,32
01/02/2016,8072,43
08/02/2016,7844,80
15/02/2016,6824,93
22/02/2016,7156,100
29/02/2016,7472,68
07/03/2016,8056,63
14/03/2016,8292,46
21/03/2016,6900,43
28/03/2016,5976,35
04/04/2016,5052,33
11/04/2016,4564,35
18/04/2016,4292,42
25/04/2016,4664,38
02/05/2016,4056,38
09/05/2016,4332,28
16/05/2016,3009,28
23/05/2016,2070,28
30/05/2016,696,29
12/09/2016,727,31
19/09/2016,2188,30
26/09/2016,3933,45
03/10/2016,6496,32
10/10/2016,5900,36
17/10/2016,6452,23
24/10/2016,6315,33
31/10/2016,6956,47
07/11/2016,7244,67
14/11/2016,7892,76
21/11/2016,9144,88
28/11/2016,8284,72
05/12/2016,8296,59
12/12/2016,7676,53
19/12/2016,9476,53
26/12/2016,7372,53
02/01/2017,8804,44
09/01/2017,7832,41
16/01/2017,7660,36
23/01/2017,8624,48
30/01/2017,8772,36
06/02/2017,7304,47
13/02/2017,5756,45
20/02/2017,6408,54
27/02/2017,5472,64
06/03/2017,5260,68
13/03/2017,4287,56
20/03/2017,2628,50
27/03/2017,2758,40
03/04/2017,2814,41
10/04/2017,2808,35
17/04/2017,3692,37
24/04/2017,4040,38
01/05/2017,3276,32
08/05/2017,4214,30
15/05/2017,4343,38
22/05/2017,3648,45
29/05/2017,2480,50
05/06/2017,2674,55
12/06/2017,1440,55
19/06/2017,1461,44
26/06/2017,1767,42
03/07/2017,2016,47
10/07/2017,1688,44
17/07/2017,3645,42
24/07/2017,3625,38
31/07/2017,3665,49
07/08/2017,3500,45
14/08/2017,2740,40
21/08/2017,2852,41
28/08/2017,2236,42
04/09/2017,2900,46
11/09/2017,3716,41
18/09/2017,5874,46
25/09/2017,6777,45
02/10/2017,7004,37
09/10/2017,6720,43
16/10/2017,5118,41
23/10/2017,4395,46
30/10/2017,4569,46
06/11/2017,3524,50
13/11/2017,4114,56
20/11/2017,2316,54
04/12/2017,2241,64
11/12/2017,4864,60
18/12/2017,8586,65
25/12/2017,7860,51
01/01/2018,9624,43
08/01/2018,9684,51
15/01/2018,9680,50
22/01/2018,9728,56
29/01/2018,8980,45
05/02/2018,9704,54
12/02/2018,7968,58
19/02/2018,7640,55
26/02/2018,6868,62
05/03/2018,7468,77
12/03/2018,7456,58
19/03/2018,7180,49
26/03/2018,5648,38
02/04/2018,5148,39
09/04/2018,4752,47
16/04/2018,2799,47
23/04/2018,3264,48
30/04/2018,3526,42
07/05/2018,2457,37
14/05/2018,4427,40
21/05/2018,4252,53
28/05/2018,2640,48
04/06/2018,3232,45
11/06/2018,2656,48
18/06/2018,2180,50
25/06/2018,3012,45
02/07/2018,2920,34
09/07/2018,2612,41
16/07/2018,2368,32
23/07/2018,2080,34
30/07/2018,2176,33
06/08/2018,1804,36
13/08/2018,2340,43
20/08/2018,1992,42
27/08/2018,2308,48
03/09/2018,3120,38
10/09/2018,4243,36
17/09/2018,5682,38
24/09/2018,6761,44
01/10/2018,6952,34
08/10/2018,5187,34
15/10/2018,4974,31
22/10/2018,5100,32
29/10/2018,5289,26
05/11/2018,7692,22
12/11/2018,8740,34
19/11/2018,9824,29
26/11/2018,10444,42
03/12/2018,10424,54
10/12/2018,10492,49
17/12/2018,10212,41
24/12/2018,7764,42
31/12/2018,10436,39
07/01/2019,11684,39
14/01/2019,10508,32
21/01/2019,12232,33
28/01/2019,12372,35
04/02/2019,13604,46
11/02/2019,11776,46
18/02/2019,9528,55
25/02/2019,9284,54
04/03/2019,8164,74
11/03/2019,8580,53
18/03/2019,6513,40
25/03/2019,3926,28
01/04/2019,2255,35
22/07/2019,947,43
29/07/2019,2056,49
05/08/2019,2502,47
12/08/2019,3256,43
19/08/2019,3408,35
26/08/2019,3240,37
02/09/2019,4372,39
09/09/2019,5350,40
16/09/2019,8118,38
23/09/2019,8969,41
30/09/2019,9808,42
07/10/2019,10436,38
14/10/2019,10372,33
21/10/2019,10656,36
28/10/2019,8248,35
04/11/2019,5940,41
11/11/2019,6252,42
18/11/2019,7599,37
25/11/2019,8133,38
02/12/2019,11704,38
09/12/2019,10368,41
16/12/2019,11376,30
23/12/2019,8336,24
30/12/2019,9756,30
06/01/2020,9060,32
13/01/2020,6988,35
20/01/2020,8508,33
27/01/2020,11392,27
03/02/2020,10760,32
10/02/2020,10192,27
17/02/2020,8980,34
24/02/2020,10152,35
02/03/2020,10772,26
09/03/2020,10356,34
16/03/2020,4688,42
23/03/2020,3160,43
30/03/2020,2180,51
06/04/2020,1236,41
13/04/2020,1096,38
20/04/2020,848,42
27/04/2020,768,39
04/05/2020,728,42
11/05/2020,696,42
18/05/2020,528,46
25/05/2020,456,44
01/06/2020,464,47
08/06/2020,548,55
15/06/2020,440,53
22/06/2020,460,51
29/06/2020,468,49
06/07/2020,552,40
13/07/2020,620,41
20/07/2020,720,45
27/07/2020,876,42
03/08/2020,936,66
10/08/2020,844,54
17/08/2020,656,43
24/08/2020,1016,42
31/08/2020,1050,65
07/09/2020,1875,52
14/09/2020,1663,59
21/09/2020,432,53
28/09/2020,348,54
05/10/2020,272,48
12/10/2020,272,41
19/10/2020,159,45
26/10/2020,78,48
02/11/2020,60,51
09/11/2020,74,55
16/11/2020,102,49
23/11/2020,117,43
30/11/2020,98,41
07/12/2020,98,46
14/12/2020,39,45
21/12/2020,56,47
28/12/2020,57,47
04/01/2021,78,55
11/01/2021,76,45
18/01/2021,68,47
25/01/2021,84,41
01/02/2021,72,43
08/02/2021,56,55
15/02/2021,88,37
22/02/2021,56,40
01/03/2021,76,55
08/03/2021,104,27
15/03/2021,136,38
22/03/2021,168,32
29/03/2021,144,26
05/04/2021,184,41
12/04/2021,152,40
19/04/2021,88,67
26/04/2021,164,53
03/05/2021,164,55
10/05/2021,252,40
17/05/2021,352,54
24/05/2021,284,54
31/05/2021,232,39
07/06/2021,304,39
14/06/2021,196,49
21/06/2021,252,38
28/06/2021,184,59
05/07/2021,220,43
12/07/2021,236,44
19/07/2021,104,53
26/07/2021,184,62
02/08/2021,168,69
09/08/2021,204,50
16/08/2021,156,51
23/08/2021,224,60
30/08/2021,196,60
06/09/2021,204,44
13/09/2021,372,66
20/09/2021,468,66
27/09/2021,620,74
04/10/2021,652,58
11/10/2021,420,72
18/10/2021,612,59
25/10/2021,500,70
01/11/2021,680,67
08/11/2021,532,68
15/11/2021,624,53
22/11/2021,544,48
29/11/2021,483,61
06/12/2021,453,61
13/12/2021,384,46
20/12/2021,261,42
27/12/2021,192,48
03/01/2022,308,45
10/01/2022,228,57
17/01/2022,216,38
24/01/2022,96,45
31/01/2022,156,68
07/02/2022,184,70
14/02/2022,248,45
21/02/2022,240,36
28/02/2022,224,38
07/03/2022,128,41
14/03/2022,192,50
21/03/2022,148,41
28/03/2022,72,37
11/04/2022,58,55
18/04/2022,142,34
25/04/2022,138,51
02/05/2022,184,76
09/05/2022,276,76
16/05/2022,288,79
23/05/2022,256,57
30/05/2022,236,70
06/06/2022,272,61
13/06/2022,252,58
20/06/2022,188,56
27/06/2022,248,65
04/07/2022,232,48
11/07/2022,93,53
18/07/2022,36,63
25/07/2022,84,58
01/08/2022,52,76
08/08/2022,93,68
15/08/2022,69,72
21/08/2022,0,61
22/08/2022,75,64
28/08/2022,0,78
29/08/2022,102,65
05/09/2022,141,84
11/09/2022,0,79
12/09/2022,344,61
19/09/2022,464,59
26/09/2022,592,61
03/10/2022,459,64
10/10/2022,483,68
17/10/2022,405,66
24/10/2022,336,50
31/10/2022,584,58
07/11/2022,556,75
14/11/2022,596,50
21/11/2022,712,71
28/11/2022,868,81
05/12/2022,861,45
12/12/2022,906,58
19/12/2022,870,52
26/12/2022,441,52
02/01/2023,528,44
09/01/2023,500,41
16/01/2023,456,57
23/01/2023,620,51
30/01/2023,608,53
06/02/2023,556,51
13/02/2023,572,52
20/02/2023,468,44
27/02/2023,544,48
06/03/2023,520,47
13/03/2023,520,43
20/03/2023,476,56
27/03/2023,472,51
03/04/2023,515,57
10/04/2023,524,74
17/04/2023,626,86
24/04/2023,728,61
01/05/2023,580,58
08/05/2023,612,50
15/05/2023,872,54
22/05/2023,644,68
29/05/2023,512,57
05/06/2023,648,73
12/06/2023,424,83
19/06/2023,368,88
26/06/2023,344,63
03/07/2023,500,81
10/07/2023,116,80
17/07/2023,896,100
24/07/2023,1060,80
31/07/2023,792,63
07/08/2023,836,68
14/08/2023,648,82
21/08/2023,552,71
28/08/2023,592,78
04/09/2023,636,81
11/09/2023,591,80
18/09/2023,900,64
25/09/2023,1200,70
02/10/2023,810,62
09/10/2023,1796,82
16/10/2023,1948,68
23/10/2023,1800,79
30/10/2023,1551,66
06/11/2023,1022,38
13/11/2023,460,61
20/11/2023,0,62
27/11/2023,0,62
04/12/2023,0,68
11/12/2023,0,63
18/12/2023,0,43
25/12/2023,0,48
01/01/2024,0,60
08/01/2024,0,59
15/01/2024,0,75
22/01/2024,0,47
29/01/2024,0,44
